Index,Time,Lat,Long
146,19:33:29,35.9126,-84.2117
147,19:33:31,35.9126,-84.2117
148,19:33:33,35.9126,-84.2116
149,19:33:35,35.9126,-84.2116
150,19:33:37,35.9126,-84.2116
151,19:33:39,35.9126,-84.2116
152,19:33:41,35.9126,-84.2117
153,19:33:43,35.9126,-84.2117
154,19:33:45,35.9126,-84.2117
155,19:33:47,35.9126,-84.2117
156,19:33:49,35.9126,-84.2117
157,19:33:51,35.9126,-84.2116
158,19:33:53,35.9126,-84.2116
159,19:33:55,35.9126,-84.2116
160,19:33:57,35.9126,-84.2116
161,19:33:59,35.9125,-84.2116
162,19:34:01,35.9125,-84.2116
163,19:34:03,35.9125,-84.2116
164,19:34:05,35.9125,-84.2117
165,19:34:07,35.9125,-84.2118
166,19:34:09,35.9125,-84.2118
167,19:34:11,35.9125,-84.2119
168,19:34:13,35.9125,-84.212
169,19:34:15,35.9125,-84.2121
170,19:34:17,35.9125,-84.2122
171,19:34:19,35.9125,-84.2123
172,19:34:21,35.9125,-84.2124
173,19:34:23,35.9125,-84.2125
174,19:34:25,35.9125,-84.2126
175,19:34:27,35.9125,-84.2127
176,19:34:29,35.9125,-84.2129
177,19:34:31,35.9125,-84.213
178,19:34:33,35.9125,-84.2131
179,19:34:35,35.9125,-84.2132
180,19:34:37,35.9125,-84.2133
181,19:34:39,35.9125,-84.2135
182,19:34:41,35.9125,-84.2136
183,19:34:43,35.9125,-84.2137
184,19:34:45,35.9125,-84.2138
185,19:34:47,35.9125,-84.2139
186,19:34:49,35.9125,-84.214
187,19:34:51,35.9125,-84.2141
188,19:34:53,35.9125,-84.2142
189,19:34:55,35.9125,-84.2144
190,19:34:57,35.9125,-84.2145
191,19:34:59,35.9125,-84.2146
192,19:35:01,35.9125,-84.2147
193,19:35:03,35.9124,-84.2148
194,19:35:05,35.9124,-84.2149
195,19:35:07,35.9123,-84.2149
196,19:35:09,35.9123,-84.215
197,19:35:11,35.9122,-84.215
198,19:35:13,35.9121,-84.215
199,19:35:15,35.912,-84.215
200,19:35:17,35.912,-84.2149
201,19:35:19,35.9119,-84.2149
202,19:35:21,35.9118,-84.2149
203,19:35:23,35.9118,-84.2149
204,19:35:25,35.9117,-84.2148
205,19:35:27,35.9116,-84.2147
206,19:35:29,35.9116,-84.2146
207,19:35:31,35.9116,-84.2146
208,19:35:33,35.9116,-84.2144
209,19:35:35,35.9116,-84.2143
210,19:35:37,35.9116,-84.2142
211,19:35:39,35.9116,-84.2141
212,19:35:41,35.9116,-84.214
213,19:35:43,35.9116,-84.2139
214,19:35:45,35.9116,-84.2137
215,19:35:47,35.9116,-84.2136
216,19:35:49,35.9116,-84.2135
217,19:35:51,35.9116,-84.2134
218,19:35:53,35.9116,-84.2133
219,19:35:55,35.9116,-84.2131
220,19:35:57,35.9116,-84.213
221,19:35:59,35.9116,-84.2129
222,19:36:01,35.9116,-84.2128
223,19:36:03,35.9116,-84.2127
224,19:36:05,35.9116,-84.2126
225,19:36:07,35.9116,-84.2125
226,19:36:09,35.9116,-84.2124
227,19:36:11,35.9116,-84.2123
228,19:36:13,35.9116,-84.2122
229,19:36:15,35.9116,-84.2121
230,19:36:17,35.9116,-84.2121
231,19:36:19,35.9117,-84.2121
232,19:36:21,35.9117,-84.2121
233,19:36:23,35.9117,-84.2122
234,19:36:25,35.9117,-84.2123
235,19:36:27,35.9116,-84.2124
236,19:36:29,35.9116,-84.2125
237,19:36:31,35.9116,-84.2126
238,19:36:33,35.9116,-84.2126
239,19:36:35,35.9116,-84.2127
240,19:36:37,35.9116,-84.2128
241,19:36:39,35.9116,-84.2129
242,19:36:41,35.9116,-84.213
243,19:36:43,35.9116,-84.2131
244,19:36:45,35.9116,-84.2132
245,19:36:47,35.9116,-84.2133
246,19:36:49,35.9116,-84.2134
